data,valor
2016-12-01,3.2591
2017-01-01,3.127
2017-02-01,3.0993
2017-03-01,3.1684
2017-04-01,3.1984
2017-05-01,3.2437
2017-06-01,3.3082
2017-07-01,3.1307
2017-08-01,3.1471
2017-09-01,3.168
2017-10-01,3.2769
2017-11-01,3.2616
2017-12-01,3.308
2018-01-01,3.1624
2018-02-01,3.2449
2018-03-01,3.3238
2018-04-01,3.4811
2018-05-01,3.737
2018-06-01,3.8558
2018-07-01,3.7549
2018-08-01,4.1353
2018-09-01,4.0039
2018-10-01,3.7177
2018-11-01,3.8633
2018-12-01,3.8748
2019-01-01,3.6519
2019-02-01,3.7385
2019-03-01,3.8967
2019-04-01,3.9453
2019-05-01,3.9407
2019-06-01,3.8322
2019-07-01,3.7649
2019-08-01,4.1385
2019-09-01,4.1644
2019-10-01,4.0041
2019-11-01,4.224
2019-12-01,4.0307
2020-01-01,4.2695
2020-02-01,4.4987
2020-03-01,5.1987
2020-04-01,5.427
2020-05-01,5.4263
2020-06-01,5.476
2020-07-01,5.2033
2020-08-01,5.4713
2020-09-01,5.6407
2020-10-01,5.7718
2020-11-01,5.3317
2020-12-01,5.1967
2021-01-01,5.4759
2021-02-01,5.5302
2021-03-01,5.6973
2021-04-01,5.4036
2021-05-01,5.2322
2021-06-01,5.0022
2021-07-01,5.1216
2021-08-01,5.1433
2021-09-01,5.4394
2021-10-01,5.643
2021-11-01,5.6199
2021-12-01,5.5805
2022-01-01,5.3574
2022-02-01,5.1394
2022-03-01,4.7378
2022-04-01,4.9191
2022-05-01,4.7289
2022-06-01,5.238
2022-07-01,5.1884
2022-08-01,5.179
2022-09-01,5.4066
2022-10-01,5.257
2022-11-01,5.2941
2022-12-01,5.2177
2023-01-01,5.0993
2023-02-01,5.2078
2023-03-01,5.0804
2023-04-01,5.0007
2023-05-01,5.0959
2023-06-01,4.8192
2023-07-01,4.7415
2023-08-01,4.9219
2023-09-01,5.0076
2023-10-01,5.0575
2023-11-01,4.9355
2023-12-01,4.8413
2024-01-01,4.9535
2024-02-01,4.9833
2024-03-01,4.9962
2024-04-01,5.1718
2024-05-01,5.2416
2024-06-01,5.5589
2024-07-01,5.6621
2024-08-01,5.6562
2024-09-01,5.4481
2024-10-01,5.7779
2024-11-01,6.0535
2024-12-01,6.1923
2025-01-01,5.8301
2025-02-01,5.8488
2025-03-01,5.7422
2025-04-01,5.6608
2025-05-01,5.7087
2025-06-01,5.4571
2025-07-01,5.6021
2025-08-01,5.4264
2025-09-01,5.3186
2025-10-01,5.3843
2025-11-01,5.3338
2025-12-01,5.5024
