data;valor
02/18/2026;129.21
02/17/2026;129.05
02/16/2026;127.22
02/13/2026;128.87
02/12/2026;129.54
02/11/2026;128.71
02/10/2026;127.89
02/09/2026;125.89
02/06/2026;127.04
02/05/2026;128.55
02/04/2026;127.55
02/03/2026;127.21
02/02/2026;128.38
01/30/2026;129.04
01/29/2026;131.53
01/28/2026;130.20
01/27/2026;130.37
01/26/2026;130.53
01/23/2026;131.03
01/22/2026;133.01
01/21/2026;135.17
01/20/2026;137.49
01/19/2026;137.75
01/16/2026;136.34
01/15/2026;136.81
01/14/2026;139.83
01/13/2026;137.66
01/12/2026;136.99
01/09/2026;137.32
01/08/2026;138.49
01/07/2026;138.01
01/06/2026;136.66
01/05/2026;137.33
01/02/2026;137.81
01/01/2026;138.31
12/31/2025;138.32
12/30/2025;138.32
12/29/2025;138.82
12/26/2025;137.82
12/25/2025;137.82
12/24/2025;137.82
12/23/2025;137.81
12/22/2025;138.13
12/19/2025;140.96
12/18/2025;142.15
12/17/2025;139.51
12/16/2025;135.17
12/15/2025;135.33
12/12/2025;137.15
12/11/2025;140.48
12/10/2025;142.30
12/09/2025;142.81
12/08/2025;142.78
12/05/2025;135.33
12/04/2025;136.17
12/03/2025;137.15
12/02/2025;140.30
12/01/2025;141.80
11/28/2025;140.81
11/27/2025;140.97
11/26/2025;141.96
11/25/2025;144.45
11/24/2025;145.92
11/21/2025;145.79
11/20/2025;141.45
11/19/2025;144.27
11/18/2025;144.63
11/17/2025;141.28
11/14/2025;142.29
11/13/2025;140.30
11/12/2025;139.96
11/11/2025;140.78
11/10/2025;143.05
11/07/2025;146.09
11/06/2025;143.23
11/05/2025;140.28
11/04/2025;140.81
11/03/2025;138.64
10/31/2025;138.47
10/30/2025;138.67
10/29/2025;136.97
10/28/2025;136.65
10/27/2025;137.61
10/24/2025;144.29
10/23/2025;145.57
10/22/2025;146.74
10/21/2025;140.29
10/20/2025;142.93
10/17/2025;146.76
10/16/2025;148.54
10/15/2025;145.10
10/14/2025;152.02
10/13/2025;159.67
10/10/2025;159.29
10/09/2025;142.63
10/08/2025;138.15
10/07/2025;135.32
10/06/2025;133.74
10/03/2025;134.50
10/02/2025;135.65
10/01/2025;135.13
09/30/2025;135.81
09/29/2025;136.14
09/26/2025;137.80
09/25/2025;137.17
09/24/2025;134.67
09/23/2025;134.82
09/22/2025;136.82
09/19/2025;126.22
09/18/2025;125.89
09/17/2025;126.39
09/16/2025;128.36
09/15/2025;130.02
09/12/2025;132.52
09/11/2025;129.19
09/10/2025;133.67
09/09/2025;137.83
09/08/2025;136.81
09/05/2025;136.64
09/04/2025;136.81
09/03/2025;137.97
09/02/2025;139.48
09/01/2025;136.66
08/29/2025;136.82
