data,prazo_du,taxa
2026-02-18,8,0.14897
2026-02-18,30,0.14771
2026-02-18,50,0.14634
2026-02-18,70,0.14424
2026-02-18,91,0.14245
2026-02-18,114,0.14067
2026-02-18,135,0.1389
2026-02-18,156,0.13724
2026-02-18,177,0.13572
2026-02-18,196,0.13445
2026-02-18,218,0.13304
2026-02-18,238,0.13197
2026-02-18,278,0.13019
2026-02-18,341,0.12809
2026-02-18,363,0.12753
2026-02-18,406,0.12676
2026-02-18,469,0.12592
2026-02-18,532,0.12578
2026-02-18,593,0.12579
2026-02-18,657,0.12601
2026-02-18,717,0.12634
2026-02-18,778,0.12686
2026-02-18,841,0.12752
2026-02-18,905,0.12806
2026-02-18,966,0.12859
2026-02-18,1027,0.12899
2026-02-18,1089,0.12953
2026-02-18,1155,0.12991
2026-02-18,1218,0.13044
