data_coleta,variavel,mediana
2025-02-19,IPCA_12m,5.8354
2025-02-19,IPCA_12m,5.5825
2025-02-20,IPCA_12m,5.8904
2025-02-20,IPCA_12m,5.566
2025-02-21,IPCA_12m,5.9519
2025-02-21,IPCA_12m,5.6702
2025-02-24,IPCA_12m,5.9724
2025-02-24,IPCA_12m,5.6138
2025-02-25,IPCA_12m,5.9514
2025-02-25,IPCA_12m,5.5531
2025-02-26,IPCA_12m,5.9517
2025-02-26,IPCA_12m,5.5416
2025-02-27,IPCA_12m,5.9411
2025-02-27,IPCA_12m,5.4863
2025-02-28,IPCA_12m,5.882
2025-02-28,IPCA_12m,5.4119
2025-03-05,IPCA_12m,5.825
2025-03-05,IPCA_12m,5.233
2025-03-06,IPCA_12m,5.878
2025-03-06,IPCA_12m,5.2343
2025-03-07,IPCA_12m,5.8553
2025-03-07,IPCA_12m,5.1848
2025-03-10,IPCA_12m,5.8847
2025-03-10,IPCA_12m,5.1722
2025-03-11,IPCA_12m,5.8731
2025-03-11,IPCA_12m,5.1309
2025-03-12,IPCA_12m,5.1794
2025-03-12,IPCA_12m,5.1718
2025-03-13,IPCA_12m,5.1819
2025-03-13,IPCA_12m,5.1752
2025-03-14,IPCA_12m,5.2824
2025-03-14,IPCA_12m,5.2646
2025-03-17,IPCA_12m,5.2824
2025-03-17,IPCA_12m,5.245
2025-03-18,IPCA_12m,5.2671
2025-03-18,IPCA_12m,5.2146
2025-03-19,IPCA_12m,5.2824
2025-03-19,IPCA_12m,5.2325
2025-03-20,IPCA_12m,5.2824
2025-03-20,IPCA_12m,5.2262
2025-03-21,IPCA_12m,5.2228
2025-03-21,IPCA_12m,5.1427
2025-03-24,IPCA_12m,5.2228
2025-03-24,IPCA_12m,5.1271
2025-03-25,IPCA_12m,5.2616
2025-03-25,IPCA_12m,5.1736
2025-03-26,IPCA_12m,5.2514
2025-03-26,IPCA_12m,5.1626
2025-03-27,IPCA_12m,5.2364
2025-03-27,IPCA_12m,5.1239
2025-03-28,IPCA_12m,5.2411
2025-03-28,IPCA_12m,5.164
2025-03-31,IPCA_12m,5.2691
2025-03-31,IPCA_12m,5.1474
2025-04-01,IPCA_12m,5.2301
2025-04-01,IPCA_12m,5.0848
2025-04-02,IPCA_12m,5.2409
2025-04-02,IPCA_12m,5.129
2025-04-03,IPCA_12m,5.298
2025-04-03,IPCA_12m,5.1368
2025-04-04,IPCA_12m,5.043
2025-04-04,IPCA_12m,4.8457
2025-04-07,IPCA_12m,4.9503
2025-04-07,IPCA_12m,4.7729
2025-04-08,IPCA_12m,5.0108
2025-04-08,IPCA_12m,4.8069
2025-04-09,IPCA_12m,4.9966
2025-04-09,IPCA_12m,4.7795
2025-04-10,IPCA_12m,5.0108
2025-04-10,IPCA_12m,4.7914
2025-04-11,IPCA_12m,4.9354
2025-04-11,IPCA_12m,4.9329
2025-04-14,IPCA_12m,4.9513
2025-04-14,IPCA_12m,4.9436
2025-04-15,IPCA_12m,4.9513
2025-04-15,IPCA_12m,4.9417
2025-04-16,IPCA_12m,4.9546
2025-04-16,IPCA_12m,4.9457
2025-04-17,IPCA_12m,4.9546
2025-04-17,IPCA_12m,4.9583
2025-04-22,IPCA_12m,4.9596
2025-04-22,IPCA_12m,4.9576
2025-04-23,IPCA_12m,4.9692
2025-04-23,IPCA_12m,4.9613
2025-04-24,IPCA_12m,4.9596
2025-04-24,IPCA_12m,4.9573
2025-04-25,IPCA_12m,4.9691
2025-04-25,IPCA_12m,4.9478
2025-04-28,IPCA_12m,4.9577
2025-04-28,IPCA_12m,4.9096
2025-04-29,IPCA_12m,4.953
2025-04-29,IPCA_12m,4.8936
2025-04-30,IPCA_12m,4.953
2025-04-30,IPCA_12m,4.9061
2025-05-02,IPCA_12m,4.9482
2025-05-02,IPCA_12m,4.9592
2025-05-05,IPCA_12m,4.9573
2025-05-05,IPCA_12m,4.9726
2025-05-06,IPCA_12m,4.9577
2025-05-06,IPCA_12m,4.9749
2025-05-07,IPCA_12m,4.9577
2025-05-07,IPCA_12m,4.9767
2025-05-08,IPCA_12m,4.9568
2025-05-08,IPCA_12m,4.9569
2025-05-09,IPCA_12m,4.9465
2025-05-09,IPCA_12m,4.9449
2025-05-12,IPCA_12m,4.8571
2025-05-12,IPCA_12m,4.848
2025-05-13,IPCA_12m,4.8605
2025-05-13,IPCA_12m,4.8477
2025-05-14,IPCA_12m,4.8825
2025-05-14,IPCA_12m,4.8657
2025-05-15,IPCA_12m,4.8069
2025-05-15,IPCA_12m,4.7923
2025-05-16,IPCA_12m,4.8956
2025-05-16,IPCA_12m,4.8538
2025-05-19,IPCA_12m,4.9319
2025-05-19,IPCA_12m,4.8941
2025-05-20,IPCA_12m,4.9
2025-05-20,IPCA_12m,4.8662
2025-05-21,IPCA_12m,4.9044
2025-05-21,IPCA_12m,4.865
2025-05-22,IPCA_12m,4.9473
2025-05-22,IPCA_12m,4.891
2025-05-23,IPCA_12m,4.9369
2025-05-23,IPCA_12m,4.8863
2025-05-26,IPCA_12m,4.9369
2025-05-26,IPCA_12m,4.8734
2025-05-27,IPCA_12m,4.9329
2025-05-27,IPCA_12m,4.8727
2025-05-28,IPCA_12m,4.9329
2025-05-28,IPCA_12m,4.8688
2025-05-29,IPCA_12m,4.9266
2025-05-29,IPCA_12m,4.868
2025-05-30,IPCA_12m,4.7175
2025-05-30,IPCA_12m,4.7076
2025-06-02,IPCA_12m,4.7024
2025-06-02,IPCA_12m,4.678
2025-06-03,IPCA_12m,4.7384
2025-06-03,IPCA_12m,4.7068
2025-06-04,IPCA_12m,4.7592
2025-06-04,IPCA_12m,4.7188
2025-06-05,IPCA_12m,4.7592
2025-06-05,IPCA_12m,4.7155
2025-06-06,IPCA_12m,4.7592
2025-06-06,IPCA_12m,4.7056
2025-06-09,IPCA_12m,4.7859
2025-06-09,IPCA_12m,4.6968
2025-06-10,IPCA_12m,4.6805
2025-06-10,IPCA_12m,4.6813
2025-06-11,IPCA_12m,4.6906
2025-06-11,IPCA_12m,4.6871
2025-06-12,IPCA_12m,4.6805
2025-06-12,IPCA_12m,4.6829
2025-06-13,IPCA_12m,4.7179
2025-06-13,IPCA_12m,4.7125
2025-06-16,IPCA_12m,4.713
2025-06-16,IPCA_12m,4.7077
2025-06-17,IPCA_12m,4.7179
2025-06-17,IPCA_12m,4.707
2025-06-18,IPCA_12m,4.7179
2025-06-18,IPCA_12m,4.7069
2025-06-20,IPCA_12m,4.676
2025-06-20,IPCA_12m,4.6933
2025-06-23,IPCA_12m,4.6309
2025-06-23,IPCA_12m,4.6554
2025-06-24,IPCA_12m,4.6309
2025-06-24,IPCA_12m,4.657
2025-06-25,IPCA_12m,4.6309
2025-06-25,IPCA_12m,4.6562
2025-06-26,IPCA_12m,4.6229
2025-06-26,IPCA_12m,4.6509
2025-06-27,IPCA_12m,4.5502
2025-06-27,IPCA_12m,4.5398
2025-06-30,IPCA_12m,4.5417
2025-06-30,IPCA_12m,4.6299
2025-07-01,IPCA_12m,4.5417
2025-07-01,IPCA_12m,4.6027
2025-07-02,IPCA_12m,4.546
2025-07-02,IPCA_12m,4.6139
2025-07-03,IPCA_12m,4.546
2025-07-03,IPCA_12m,4.6503
2025-07-04,IPCA_12m,4.6176
