data,valor
2016-12-01,6.29
2017-01-01,5.35
2017-02-01,4.76
2017-03-01,4.57
2017-04-01,4.08
2017-05-01,3.6
2017-06-01,3.0
2017-07-01,2.71
2017-08-01,2.46
2017-09-01,2.54
2017-10-01,2.7
2017-11-01,2.8
2017-12-01,2.95
2018-01-01,2.86
2018-02-01,2.84
2018-03-01,2.68
2018-04-01,2.76
2018-05-01,2.86
2018-06-01,4.39
2018-07-01,4.48
2018-08-01,4.19
2018-09-01,4.53
2018-10-01,4.56
2018-11-01,4.05
2018-12-01,3.75
2019-01-01,3.78
2019-02-01,3.89
2019-03-01,4.58
2019-04-01,4.94
2019-05-01,4.66
2019-06-01,3.37
2019-07-01,3.22
2019-08-01,3.43
2019-09-01,2.89
2019-10-01,2.54
2019-11-01,3.27
2019-12-01,4.31
2020-01-01,4.19
2020-02-01,4.01
2020-03-01,3.3
2020-04-01,2.4
2020-05-01,1.88
2020-06-01,2.13
2020-07-01,2.31
2020-08-01,2.44
2020-09-01,3.14
2020-10-01,3.92
2020-11-01,4.31
2020-12-01,4.52
2021-01-01,4.56
2021-02-01,5.2
2021-03-01,6.1
2021-04-01,6.76
2021-05-01,8.06
2021-06-01,8.35
2021-07-01,8.99
2021-08-01,9.68
2021-09-01,10.25
2021-10-01,10.67
2021-11-01,10.74
2021-12-01,10.06
2022-01-01,10.38
2022-02-01,10.54
2022-03-01,11.3
2022-04-01,12.13
2022-05-01,11.73
2022-06-01,11.89
2022-07-01,10.07
2022-08-01,8.73
2022-09-01,7.17
2022-10-01,6.47
2022-11-01,5.9
2022-12-01,5.79
2023-01-01,5.77
2023-02-01,5.6
2023-03-01,4.65
2023-04-01,4.18
2023-05-01,3.94
2023-06-01,3.16
2023-07-01,3.99
2023-08-01,4.61
2023-09-01,5.19
2023-10-01,4.82
2023-11-01,4.68
2023-12-01,4.62
2024-01-01,4.51
2024-02-01,4.5
2024-03-01,3.93
2024-04-01,3.69
2024-05-01,3.93
2024-06-01,4.23
2024-07-01,4.5
2024-08-01,4.24
2024-09-01,4.42
2024-10-01,4.76
2024-11-01,4.87
2024-12-01,4.83
2025-01-01,4.56
2025-02-01,5.06
2025-03-01,5.48
2025-04-01,5.53
2025-05-01,5.32
2025-06-01,5.35
2025-07-01,5.23
2025-08-01,5.13
2025-09-01,5.17
2025-10-01,4.68
2025-11-01,4.46
2025-12-01,4.26
