data,valor
2016-10-01,162.39
2017-01-01,162.33
2017-04-01,165.04
2017-07-01,168.27
2017-10-01,166.58
2018-01-01,165.42
2018-04-01,167.71
2018-07-01,171.73
2018-10-01,169.17
2019-01-01,166.91
2019-04-01,169.68
2019-07-01,173.64
2019-10-01,172.03
2020-01-01,167.6
2020-04-01,152.48
2020-07-01,168.37
2020-10-01,171.46
2021-01-01,170.53
2021-04-01,171.38
2021-07-01,175.46
2021-10-01,173.96
2022-01-01,173.05
2022-04-01,177.45
2022-07-01,183.04
2022-10-01,178.65
2023-01-01,180.74
2023-04-01,184.28
2023-07-01,187.35
2023-10-01,182.9
2024-01-01,185.18
2024-04-01,190.68
2024-07-01,195.1
2024-10-01,189.45
2025-01-01,191.02
2025-04-01,195.18
2025-07-01,198.66
