data,titulo,vencimento,taxa,pu,du
2026-02-18,LFT,2026-03-01,0.000393,18407.322023,8
2026-02-18,LFT,2026-09-01,-0.000271,18410.230418,135
2026-02-18,LFT,2027-03-01,0.000134,18405.039486,256
2026-02-18,LFT,2027-09-01,0.000248,18400.584856,385
2026-02-18,LFT,2028-03-01,0.000413,18392.209415,509
2026-02-18,LFT,2028-09-01,0.00051,18383.833975,637
2026-02-18,LFT,2029-03-01,0.000647,18371.813837,757
2026-02-18,LFT,2029-09-01,0.000782,18357.032566,886
2026-02-18,LFT,2030-03-01,0.000902,18341.294101,1008
2026-02-18,LFT,2030-06-01,0.000938,18334.42808,1070
2026-02-18,LFT,2030-09-01,0.000978,18326.752127,1134
2026-02-18,LFT,2030-12-01,0.000992,18321.064191,1197
2026-02-18,LFT,2031-03-01,0.001009,18315.118549,1258
2026-02-18,LFT,2031-06-01,0.001023,18309.228129,1320
2026-02-18,LFT,2031-09-01,0.001033,18303.466562,1384
2026-02-18,LFT,2031-12-01,0.001045,18297.410475,1448
2026-02-18,LFT,2032-03-01,0.001079,18289.071849,1509
2026-02-18,LTN,2026-04-01,0.146285,983.878241,30
2026-02-18,LTN,2026-07-01,0.141517,953.328271,91
2026-02-18,LTN,2026-10-01,0.136534,923.829502,156
2026-02-18,LTN,2027-04-01,0.130062,873.813847,278
2026-02-18,LTN,2027-07-01,0.12799,849.6144,341
2026-02-18,LTN,2027-10-01,0.127053,824.730199,406
2026-02-18,LTN,2028-01-01,0.12592,801.934239,469
2026-02-18,LTN,2028-04-01,0.12609,778.257745,532
2026-02-18,LTN,2028-07-01,0.126127,756.146433,593
2026-02-18,LTN,2029-01-01,0.127123,711.425197,717
2026-02-18,LTN,2029-07-01,0.128513,667.989679,841
2026-02-18,LTN,2030-01-01,0.129592,626.806997,966
2026-02-18,LTN,2032-01-01,0.133355,481.798234,1470
2026-02-18,NTN-B,2026-08-15,0.100763,4517.74685,124
2026-02-18,NTN-B,2027-05-15,0.081101,4566.31671,309
2026-02-18,NTN-B,2028-08-15,0.077255,4435.949096,624
2026-02-18,NTN-B,2029-05-15,0.0761,4477.324103,808
2026-02-18,NTN-B,2030-08-15,0.0764,4339.402813,1122
2026-02-18,NTN-B,2031-05-15,0.076276,4374.424819,1308
2026-02-18,NTN-B,2032-08-15,0.076039,4251.063447,1626
2026-02-18,NTN-B,2033-05-15,0.076001,4289.397662,1813
2026-02-18,NTN-B,2035-05-15,0.074869,4247.1394,2312
2026-02-18,NTN-B,2037-05-15,0.074674,4192.579962,2813
2026-02-18,NTN-B,2040-08-15,0.073343,4090.002699,3631
2026-02-18,NTN-B,2045-05-15,0.071846,4139.708831,4818
2026-02-18,NTN-B,2050-08-15,0.0712,4043.222351,6133
2026-02-18,NTN-B,2055-05-15,0.070719,4099.516098,7322
2026-02-18,NTN-B,2060-08-15,0.071112,3983.501388,8639
2026-02-18,NTN-F,2027-01-01,0.132284,988.601933,218
2026-02-18,NTN-F,2029-01-01,0.127202,954.140233,717
2026-02-18,NTN-F,2031-01-01,0.13234,907.444792,1218
2026-02-18,NTN-F,2033-01-01,0.134514,870.463331,1722
2026-02-18,NTN-F,2035-01-01,0.134574,847.518836,2221
2026-02-18,NTN-F,2037-01-01,0.135662,824.430848,2723
